bib,ID,5.5k,8.9k,Chip Time,Finish Time
10000,04270,0:13:57,0:10:50,0:32:12,0:32:12
10508,04271,0:14:14,0:11:01,0:32:51,0:32:51
10502,04272,0:14:54,0:11:37,0:34:12,0:34:12
10490,04273,0:15:12,0:11:31,0:34:23,0:34:23
10802,04274,0:15:13,0:11:42,0:34:40,0:34:40
10495,04275,0:15:21,0:11:48,0:35:07,0:35:08
10505,04276,0:15:46,0:12:15,0:35:47,0:35:47
10515,04277,0:15:51,0:12:11,0:35:50,0:35:51
10510,04278,0:15:38,0:12:10,0:35:53,0:35:53
10499,04279,0:16:11,0:12:34,0:36:59,0:36:59
13002,04280,0:16:43,0:12:22,0:37:17,0:37:17
13001,04281,0:16:41,0:12:29,0:37:37,0:37:37
10800,04282,0:16:19,0:13:04,0:37:41,0:37:41
13000,04283,0:16:45,0:12:27,0:37:45,0:37:45
10506,04284,0:16:42,0:13:11,0:38:33,0:38:36
10799,04285,0:16:40,0:13:56,0:38:50,0:38:50
10846,04286,0:17:24,0:13:24,0:39:38,0:39:38
10463,04287,0:17:35,0:13:25,0:40:04,0:40:05
10466,04288,0:17:26,0:13:22,0:40:13,0:40:17
13285,04289,0:17:43,0:13:50,0:40:37,0:40:37
10974,04290,0:17:43,0:13:50,0:40:43,0:40:43
13023,04291,0:17:39,0:14:08,0:41:01,0:41:02
13288,04292,0:18:09,0:13:42,0:41:17,0:41:18
10493,04293,0:18:13,0:14:17,0:41:33,0:41:33
13016,04294,0:18:18,0:14:18,0:42:20,0:42:21
10766,04295,0:18:43,0:14:24,0:42:42,0:42:43
10801,04296,0:18:50,0:14:45,0:42:44,0:42:44
10509,04297,0:19:04,0:14:36,0:42:57,0:42:58
10052,04298,0:18:39,0:14:27,0:43:02,0:43:04
10849,04299,0:18:45,0:15:23,0:43:20,0:43:22
13290,04300,0:19:12,0:14:26,0:43:21,0:43:21
10501,04301,0:18:54,0:14:59,0:43:36,0:43:37
10406,04302,0:19:13,0:14:54,0:43:40,0:43:41
10507,04303,0:19:10,0:14:56,0:43:55,0:43:57
10319,04304,0:19:19,0:15:33,0:45:03,0:45:08
10057,04305,0:20:22,0:14:53,0:45:31,0:48:28
13451,04306,0:20:21,0:15:22,0:45:50,0:45:50
13450,04307,0:20:21,0:15:22,0:45:53,0:45:53
10772,04308,0:20:23,0:15:03,0:46:00,0:46:07
13447,04309,0:20:27,0:15:40,0:46:36,0:46:36
10683,04310,0:20:25,0:16:06,0:46:50,0:46:53
10196,04311,0:21:06,0:15:41,0:47:18,0:47:20
10158,04312,0:20:44,0:16:03,0:47:19,0:47:21
13128,04313,0:20:20,0:16:08,0:47:26,0:47:26
10263,04314,0:20:43,0:15:59,0:47:29,0:47:35
10041,04315,0:20:59,0:16:12,0:47:30,0:47:32
10497,04316,0:20:42,0:16:19,0:47:38,0:47:48
10264,04317,0:21:00,0:16:49,0:47:56,0:47:57
13645,04318,0:21:02,0:17:28,0:48:17,0:48:18
10238,04319,0:20:54,0:16:33,0:48:31,0:48:40
13543,04320,0:18:22,0:20:06,0:48:39,0:48:42
10942,04321,0:21:18,0:16:12,0:48:45,0:48:47
10124,04322,0:21:20,0:16:17,0:48:52,0:49:35
10824,04323,0:21:27,0:16:17,0:48:56,0:48:57
13048,04324,0:21:33,0:16:11,0:49:02,0:49:03
10061,04325,0:21:30,0:16:27,0:49:14,0:49:18
10207,04326,0:22:01,0:16:46,0:49:18,0:49:19
10030,04327,0:21:02,0:15:52,0:49:30,0:49:37
10039,04328,0:22:25,0:16:00,0:49:30,0:49:33
13123,04329,0:21:26,0:16:46,0:49:39,0:49:45
10568,04330,0:22:15,0:16:34,0:49:45,0:49:49
13548,04331,0:22:41,0:16:22,0:49:48,0:49:52
10027,04332,0:21:25,0:16:49,0:49:49,0:49:53
10180,04333,0:21:54,0:16:36,0:49:51,0:50:43
10139,04334,0:22:15,0:16:33,0:49:52,0:49:52
10200,04335,0:21:29,0:16:53,0:49:56,0:50:01
10076,04336,0:21:50,0:16:45,0:49:58,0:50:12
13065,04337,0:21:45,0:17:00,0:50:02,0:50:08
10017,04338,0:21:25,0:16:27,0:50:21,0:50:58
10195,04339,0:22:04,0:17:13,0:50:24,0:50:27
10033,04340,0:21:49,0:16:45,0:50:26,0:50:46
13555,04341,0:22:01,0:16:38,0:50:35,0:51:26
10851,04342,0:22:41,0:16:27,0:50:44,0:51:02
11020,04343,0:22:17,0:16:32,0:50:47,0:51:00
10932,04344,0:22:02,0:17:04,0:50:48,0:51:43
10081,04345,0:22:04,0:17:30,0:50:52,0:50:54
13041,04346,0:22:39,0:16:57,0:51:08,0:53:52
10267,04347,0:22:35,0:17:05,0:51:09,0:51:12
10252,04348,0:21:48,0:17:53,0:51:16,0:51:23
10201,04349,0:22:30,0:17:21,0:51:20,0:51:23
10148,04350,0:22:24,0:17:21,0:51:21,0:51:30
10869,04351,0:22:55,0:17:07,0:51:21,0:51:29
10562,04352,0:22:08,0:17:23,0:51:22,0:51:25
10239,04353,0:23:28,0:16:58,0:51:35,0:51:35
10047,04354,0:23:05,0:17:08,0:51:40,0:51:42
10038,04355,0:23:21,0:17:01,0:51:48,0:51:55
10594,04356,0:23:29,0:16:55,0:51:48,0:51:50
10822,04357,0:22:39,0:18:25,0:51:56,0:51:58
13027,04358,0:22:23,0:18:08,0:52:06,0:52:07
13517,04359,0:22:11,0:17:16,0:52:07,0:52:22
10718,04360,0:22:15,0:17:12,0:52:08,0:52:23
11021,04361,0:21:48,0:18:38,0:52:10,0:52:31
10149,04362,0:22:39,0:18:05,0:52:17,0:52:18
10305,04363,0:22:49,0:17:36,0:52:20,0:52:36
10107,04364,0:21:40,0:18:53,0:52:22,0:52:24
10104,04365,0:23:04,0:17:46,0:52:26,0:53:15
10930,04366,0:24:04,0:17:06,0:52:30,0:52:32
10421,04367,0:23:03,0:17:30,0:52:35,0:53:20
10206,04368,0:23:29,0:17:15,0:52:37,0:52:51
10310,04369,0:23:08,0:17:18,0:52:39,0:52:44
13500,04370,0:22:54,0:17:57,0:52:40,0:52:41
10040,04371,0:23:24,0:17:21,0:52:42,0:52:56
13037,04372,0:23:01,0:17:00,0:52:55,0:54:08
10845,04373,0:23:26,0:17:27,0:52:59,0:53:03
10364,04374,0:23:34,0:17:25,0:53:01,0:53:53
10289,04375,0:23:35,0:17:29,0:53:03,0:53:55
10067,04376,0:23:35,0:17:24,0:53:10,0:54:02
10720,04377,0:22:29,0:18:53,0:53:19,0:53:23
10123,04378,0:23:36,0:17:48,0:53:26,0:54:12
10322,04379,0:23:24,0:18:47,0:53:28,0:53:28
10415,04380,0:23:14,0:17:13,0:53:29,0:54:11
13312,04381,0:23:33,0:17:38,0:53:38,0:54:09
13057,04382,0:23:43,0:18:24,0:53:41,0:53:58
10015,04383,0:22:56,0:17:18,0:53:42,0:54:06
10062,04384,0:25:28,0:16:58,0:53:45,0:53:52
10279,04385,0:23:28,0:18:13,0:53:51,0:54:34
10339,04386,0:24:02,0:18:04,0:53:54,0:53:58
13481,04387,0:23:39,0:18:18,0:53:58,0:54:11
10189,04388,0:23:42,0:17:46,0:53:59,0:54:33
10203,04389,0:24:21,0:17:24,0:54:11,0:54:15
10461,04390,0:24:27,0:17:39,0:54:16,0:55:31
10874,04391,0:24:13,0:18:07,0:54:17,0:54:30
10045,04392,0:23:41,0:18:08,0:54:18,0:54:29
10026,04393,0:23:46,0:18:21,0:54:27,0:54:55
10178,04394,0:23:43,0:18:17,0:54:29,0:54:34
10028,04395,0:24:11,0:18:23,0:54:43,0:54:54
10953,04396,0:23:58,0:18:27,0:54:45,0:54:50
10214,04397,0:24:07,0:18:40,0:54:50,0:55:28
10317,04398,0:24:07,0:18:23,0:54:52,0:54:57
13156,04399,0:24:02,0:18:27,0:54:52,0:54:57
10320,04400,0:23:50,0:18:13,0:54:54,0:55:09
10901,04401,0:24:16,0:18:11,0:54:56,0:55:15
10089,04402,0:24:28,0:18:20,0:55:02,0:55:29
10762,04403,0:23:48,0:18:59,0:55:03,0:55:20
10831,04404,0:24:41,0:17:28,0:55:14,0:55:48
13253,04405,0:23:32,0:18:47,0:55:16,0:55:33
10088,04406,0:24:31,0:18:32,0:55:17,0:55:20
10484,04407,0:24:00,0:18:40,0:55:23,0:55:28
10624,04408,0:24:42,0:18:22,0:55:23,0:55:44
13315,04409,0:23:42,0:19:32,0:55:25,0:55:32
10784,04410,0:23:16,0:20:10,0:55:29,0:55:34
13132,04411,0:24:11,0:18:19,0:55:36,0:56:18
10650,04412,0:25:03,0:17:51,0:55:38,0:55:57
10701,04413,0:24:14,0:19:04,0:55:40,0:55:46
10208,04414,0:24:06,0:18:49,0:55:41,0:55:51
10093,04415,0:25:35,0:17:18,0:55:41,0:55:53
10079,04416,0:24:41,0:18:55,0:55:46,0:56:08
10090,04417,0:24:34,0:18:55,0:55:49,0:55:49
10823,04418,0:25:14,0:18:17,0:55:50,0:55:59
10176,04419,0:25:23,0:17:12,0:55:50,0:56:21
10826,04420,0:25:03,0:17:39,0:55:52,0:56:26
13388,04421,0:24:20,0:19:03,0:55:59,0:55:59
10945,04422,0:24:09,0:20:04,0:56:04,0:56:06
10862,04423,0:24:15,0:18:57,0:56:10,0:56:17
10060,04424,0:24:52,0:18:32,0:56:10,0:56:41
13071,04425,,0:22:20,0:56:14,0:56:14
10069,04426,0:24:44,0:19:02,0:56:14,0:56:23
10955,04427,0:24:20,0:18:57,0:56:16,0:56:49
10907,04428,0:24:58,0:18:53,0:56:21,0:57:15
10888,04429,0:25:10,0:18:12,0:56:25,0:56:39
10542,04430,0:24:35,0:19:19,0:56:27,0:56:36
10967,04431,0:25:10,0:17:22,0:56:30,0:57:25
10864,04432,0:23:32,0:18:26,0:56:33,0:57:20
10183,04433,0:25:01,0:18:52,0:56:34,0:57:09
10863,04434,0:24:30,0:19:00,0:56:39,0:56:49
10756,04435,0:24:41,0:19:04,0:56:41,0:56:55
13631,04436,0:24:33,0:19:20,0:56:42,0:57:10
10935,04437,0:25:45,0:18:44,0:56:45,0:56:52
10246,04438,0:24:16,0:19:17,0:56:49,0:56:53
10676,04439,0:24:42,0:18:52,0:56:50,0:57:19
11010,04440,0:25:43,0:18:49,0:56:51,0:56:51
10248,04441,0:24:30,0:18:47,0:56:52,0:57:36
10585,04442,0:24:53,0:19:42,0:56:54,0:57:01
10096,04443,0:24:12,0:19:36,0:56:58,0:57:38
10146,04444,0:25:14,0:19:31,0:56:59,0:57:08
10604,04445,0:25:40,0:19:15,0:57:00,0:57:12
13160,04446,0:24:52,0:19:15,0:57:04,0:57:11
10018,04447,0:25:21,0:19:38,0:57:04,0:57:05
13025,04448,0:25:05,0:19:28,0:57:11,0:57:13
11088,04449,0:26:00,0:18:19,0:57:12,0:57:56
13506,04450,0:26:05,0:18:19,0:57:14,0:57:24
13098,04451,0:26:17,0:18:23,0:57:25,0:57:35
13495,04452,,0:37:44,0:57:30,0:58:27
10125,04453,0:25:20,0:18:34,0:57:30,0:58:55
10410,04454,0:24:48,0:20:13,0:57:41,0:57:51
10075,04455,0:25:04,0:19:21,0:57:42,0:58:41
13490,04456,0:26:01,0:18:28,0:57:46,0:57:59
10778,04457,0:24:31,0:19:38,0:57:48,0:58:32
13103,04458,0:24:34,0:20:10,0:57:59,0:58:02
10306,04459,0:25:37,0:20:04,0:58:01,0:58:15
10743,04460,0:25:20,0:19:00,0:58:04,0:58:34
10130,04461,0:24:50,0:20:10,0:58:05,0:58:15
13077,04462,0:24:56,0:20:03,0:58:05,0:58:14
