Bib,ID,3.9k,Chip Time,Finish Time
50002,6891,0:08:31,0:15:48,0:15:49
50000,6892,0:08:30,0:15:50,0:15:50
50001,6893,0:08:51,0:16:26,0:16:27
50125,6894,0:09:03,0:16:48,0:16:48
50151,6895,0:09:17,0:17:07,0:17:08
50128,6896,0:09:17,0:17:13,0:17:13
50140,6897,0:09:21,0:17:13,0:17:13
50099,6898,0:09:29,0:17:25,0:17:25
50142,6899,0:09:29,0:17:26,0:17:26
50138,6900,0:09:34,0:17:42,0:17:43
50139,6901,0:09:41,0:17:43,0:17:44
50090,6902,0:09:35,0:17:43,0:17:44
50135,6903,0:10:16,0:18:21,0:18:21
50111,6904,0:09:53,0:18:24,0:18:25
50444,6905,0:10:16,0:18:42,0:18:42
50126,6906,0:10:28,0:19:01,0:19:01
50445,6907,0:10:19,0:19:02,0:19:02
50443,6908,0:10:19,0:19:03,0:19:03
53002,6909,0:10:32,0:19:16,0:19:16
50442,6910,0:10:32,0:19:32,0:19:32
50131,6911,0:10:52,0:19:41,0:19:41
50118,6912,0:10:20,0:19:48,0:19:48
53564,6913,0:10:50,0:19:48,0:19:48
50148,6914,0:10:54,0:19:52,0:19:52
50124,6915,0:10:47,0:20:08,0:20:17
53563,6916,0:11:08,0:20:25,0:20:25
53001,6917,0:11:26,0:20:47,0:20:48
53109,6918,0:11:34,0:21:07,0:21:08
53566,6919,0:11:35,0:21:08,0:21:08
53565,6920,0:11:35,0:21:10,0:21:11
53098,6921,0:11:36,0:21:16,0:21:16
50107,6922,0:11:35,0:21:17,0:21:18
50145,6923,0:11:53,0:21:21,0:21:22
50104,6924,0:11:42,0:21:23,0:21:24
50130,6925,0:11:57,0:22:07,0:22:08
50105,6926,0:12:16,0:22:16,0:22:17
53095,6927,0:12:16,0:22:18,0:22:18
50699,6928,0:12:18,0:22:30,0:22:34
53549,6929,0:12:36,0:22:40,0:22:40
50036,6930,0:12:44,0:22:46,0:22:50
50171,6931,0:12:31,0:23:07,0:23:17
50506,6932,0:12:22,0:23:07,0:23:16
50073,6933,0:12:34,0:23:15,0:23:34
50697,6934,0:11:48,0:23:17,0:23:17
50231,6935,0:12:55,0:23:25,0:23:26
53114,6936,0:12:57,0:23:26,0:23:27
53547,6937,0:12:03,0:23:32,0:23:34
50351,6938,0:13:01,0:24:04,0:24:27
50297,6939,0:13:07,0:24:06,0:24:10
50613,6940,0:13:10,0:25:02,0:25:16
50228,6941,0:14:12,0:25:16,0:25:37
53113,6942,0:14:13,0:25:23,0:25:23
50077,6943,0:13:45,0:25:28,0:25:36
50708,6944,0:13:09,0:25:30,0:25:30
50106,6945,0:13:59,0:26:02,0:26:30
50149,6946,0:14:16,0:26:10,0:26:18
50102,6947,0:14:41,0:26:11,0:26:17
50061,6948,0:14:15,0:26:32,0:26:39
50303,6949,0:14:29,0:26:45,0:26:54
53553,6950,0:14:22,0:26:45,0:31:32
53686,6951,0:14:37,0:26:54,0:27:01
50160,6952,0:14:15,0:26:55,0:27:32
53079,6953,0:14:21,0:26:56,0:27:51
50185,6954,0:14:59,0:26:58,0:27:03
53870,6955,0:14:27,0:26:58,0:27:00
53551,6956,0:14:16,0:26:59,0:27:05
50481,6957,0:14:15,0:27:00,0:27:05
53018,6958,0:15:20,0:27:07,0:27:14
50147,6959,0:15:13,0:27:09,0:27:10
50519,6960,0:13:31,0:27:12,0:27:50
53510,6961,0:14:40,0:27:14,0:27:21
53579,6962,0:14:49,0:27:21,0:27:22
53320,6963,0:14:48,0:27:28,0:27:30
50302,6964,0:15:02,0:27:28,0:27:36
50355,6965,,0:27:32,0:27:32
50041,6966,0:15:14,0:27:33,0:27:37
50201,6967,0:14:40,0:27:35,0:27:49
50534,6968,0:15:03,0:27:35,0:27:39
50234,6969,0:14:57,0:27:40,0:27:54
53110,6970,0:14:34,0:27:41,0:27:50
53336,6971,0:14:51,0:27:51,0:27:55
53450,6972,0:15:37,0:27:52,0:27:58
50273,6973,0:14:55,0:27:53,0:28:08
50602,6974,0:14:44,0:27:55,0:28:18
50704,6975,0:15:49,0:28:05,0:28:07
50701,6976,0:15:50,0:28:05,0:28:07
54140,6977,0:16:00,0:28:08,0:28:11
50607,6978,0:14:48,0:28:17,0:28:37
50709,6979,0:16:16,0:28:21,0:28:25
50600,6980,0:14:56,0:28:24,0:28:50
50395,6981,0:15:39,0:28:26,0:28:28
54132,6982,0:15:14,0:28:27,0:28:37
50013,6983,0:15:35,0:28:27,0:28:43
50100,6984,0:15:45,0:28:28,0:28:39
54006,6985,0:15:16,0:28:34,0:29:00
50604,6986,0:15:44,0:28:42,0:28:51
50164,6987,0:15:30,0:28:46,0:28:51
50724,6988,0:16:04,0:28:50,0:28:52
53059,6989,0:16:05,0:28:55,0:28:56
53328,6990,0:15:36,0:28:56,0:29:00
50129,6991,0:14:02,0:28:58,0:29:00
53135,6992,0:15:34,0:29:02,0:29:14
53326,6993,0:15:51,0:29:12,0:29:17
53143,6994,0:16:12,0:29:25,0:29:25
50026,6995,0:15:44,0:29:25,0:30:18
50159,6996,0:16:04,0:29:29,0:29:30
53111,6997,0:16:17,0:29:40,0:30:36
53321,6998,0:16:04,0:29:41,0:29:43
50434,6999,0:16:59,0:29:43,0:29:59
50291,7000,0:15:30,0:29:47,0:30:33
53463,7001,0:15:53,0:29:49,0:29:53
53120,7002,0:15:48,0:29:50,0:30:07
50114,7003,0:14:55,0:29:52,0:30:09
53223,7004,0:16:18,0:29:57,0:30:29
50612,7005,0:17:00,0:29:57,0:30:11
53546,7006,0:16:43,0:29:59,0:29:59
50268,7007,0:16:16,0:30:04,0:30:09
50332,7008,0:16:11,0:30:18,0:30:48
53522,7009,0:16:05,0:30:21,0:31:04
50660,7010,0:15:57,0:30:22,0:31:02
50127,7011,0:17:16,0:30:23,0:30:23
50199,7012,0:16:51,0:30:30,0:30:36
53656,7013,0:16:12,0:30:30,0:30:42
53834,7014,0:16:36,0:30:33,0:30:34
53323,7015,0:16:41,0:30:33,0:30:36
50214,7016,0:16:27,0:30:34,0:31:11
53725,7017,0:16:29,0:30:34,0:31:05
50267,7018,0:16:42,0:30:34,0:30:38
50378,7019,0:16:35,0:30:36,0:30:46
50146,7020,0:16:18,0:30:36,0:30:52
53038,7021,0:16:27,0:30:37,0:30:54
53093,7022,0:15:29,0:30:40,0:30:41
50095,7023,0:17:05,0:30:44,0:30:44
50177,7024,0:16:33,0:30:45,0:30:55
50194,7025,0:16:16,0:30:47,0:30:51
50197,7026,0:16:16,0:30:47,0:30:51
53979,7027,0:17:14,0:30:50,0:30:50
53043,7028,0:16:44,0:30:50,0:30:50
50236,7029,0:16:59,0:30:52,0:31:05
50592,7030,0:16:13,0:30:56,0:31:30
50688,7031,0:16:41,0:31:00,0:31:01
50368,7032,0:16:14,0:31:04,0:31:52
53064,7033,0:17:18,0:31:09,0:31:10
50339,7034,0:17:03,0:31:11,0:31:18
50705,7035,0:18:24,0:31:13,0:31:16
50178,7036,0:17:21,0:31:15,0:31:51
50271,7037,0:16:52,0:31:15,0:31:29
53322,7038,0:16:52,0:31:15,0:31:29
53080,7039,0:16:55,0:31:16,0:31:20
50112,7040,0:17:06,0:31:18,0:31:47
50719,7041,0:17:06,0:31:19,0:31:54
50412,7042,0:17:06,0:31:19,0:31:54
50542,7043,0:17:07,0:31:20,0:31:54
53056,7044,0:17:15,0:31:23,0:31:23
53060,7045,0:17:13,0:31:23,0:31:24
53101,7046,0:16:58,0:31:26,0:31:36
50209,7047,0:17:04,0:31:27,0:32:06
50526,7048,0:16:44,0:31:35,0:31:53
50184,7049,0:16:48,0:31:36,0:31:49
50183,7050,0:16:30,0:31:37,0:32:28
50367,7051,0:18:20,0:31:39,0:32:07
50754,7052,0:18:11,0:31:44,0:31:44
50014,7053,0:16:51,0:31:51,0:32:26
50022,7054,0:16:51,0:31:51,0:32:26
53198,7055,0:17:40,0:31:54,0:32:37
53570,7056,0:17:18,0:31:59,0:32:51
50509,7057,0:17:27,0:32:03,0:32:13
53186,7058,0:17:41,0:32:04,0:32:12
53133,7059,0:17:32,0:32:08,0:32:10
53248,7060,0:17:29,0:32:10,0:32:34
50053,7061,0:17:38,0:32:12,0:32:17
50702,7062,0:18:36,0:32:16,0:32:19
50560,7063,0:17:16,0:32:20,0:32:45
54028,7064,0:17:49,0:32:22,0:32:24
53058,7065,0:17:53,0:32:23,0:32:25
53523,7066,0:17:57,0:32:26,0:32:27
50285,7067,0:16:39,0:32:30,0:32:54
50072,7068,0:17:33,0:32:33,0:33:30
53094,7069,0:17:41,0:32:40,0:33:00
53062,7070,0:18:18,0:32:42,0:32:53
53061,7071,0:18:18,0:32:43,0:32:53
53022,7072,0:18:06,0:32:43,0:32:46
53019,7073,0:18:07,0:32:44,0:32:46
53055,7074,0:17:52,0:32:45,0:32:50
53423,7075,0:18:02,0:32:46,0:32:49
50393,7076,0:17:32,0:32:47,0:33:06
53503,7077,0:17:28,0:32:50,0:33:14
53236,7078,0:18:00,0:32:55,0:33:44
50472,7079,0:17:45,0:32:58,0:33:12
50638,7080,0:18:02,0:32:58,0:33:03
54187,7081,0:18:17,0:33:02,0:33:11
53881,7082,0:17:35,0:33:04,0:33:31
53363,7083,0:17:42,0:33:11,0:33:20
50597,7084,0:17:52,0:33:17,0:33:43
50346,7085,0:18:57,0:33:19,0:33:21
53300,7086,0:18:24,0:33:19,0:33:33
50366,7087,0:18:15,0:33:20,0:33:39
