Bib,ID,11.1k,16.6k,20k,20.7k,Chip Time,Finish Time
20007,01400,0:31:31,0:17:48,0:10:45,0:02:11,1:07:24,1:07:24
20002,01401,0:32:48,0:18:40,0:11:04,0:02:05,1:09:42,1:09:43
20006,01402,0:32:57,0:18:24,0:11:03,0:02:06,1:09:48,1:09:48
20005,01403,0:33:09,0:18:31,0:11:07,0:02:09,1:10:15,1:10:15
20001,01404,0:32:57,0:18:30,0:11:26,0:02:08,1:10:21,1:10:21
20003,01405,0:33:19,0:18:33,0:11:09,0:02:05,1:10:27,1:10:27
20004,01406,0:33:11,0:19:58,0:12:20,0:02:24,1:13:20,1:13:20
20000,01407,0:33:32,0:20:04,0:12:33,0:02:26,1:14:08,1:14:08
21268,01408,0:35:22,0:19:51,0:12:14,0:02:24,1:15:40,1:15:40
21252,01409,0:35:58,0:20:13,0:11:52,0:02:23,1:16:27,1:16:27
21230,01410,0:35:30,0:20:30,0:12:34,0:02:28,1:16:46,1:16:46
21266,01411,0:36:54,0:20:40,0:12:22,0:02:21,1:18:12,1:18:12
21306,01412,0:36:52,0:20:41,0:12:22,0:02:24,1:18:19,1:18:19
23002,01413,0:38:29,0:20:47,0:12:05,0:02:21,1:20:09,1:20:09
23001,01414,0:38:30,0:20:51,0:12:29,0:02:30,1:20:49,1:20:49
21262,01415,0:38:29,0:21:00,0:12:40,0:02:27,1:20:51,1:20:51
21257,01416,0:38:47,0:21:08,0:12:53,0:02:33,1:21:18,1:21:18
21235,01417,0:38:36,0:21:31,0:12:58,0:02:31,1:21:44,1:21:44
23370,01418,0:38:29,0:21:24,0:13:04,0:02:25,1:21:46,1:21:46
21215,01419,0:38:41,0:21:44,0:13:39,0:02:44,1:22:55,1:22:55
20067,01420,0:38:55,0:22:11,0:13:19,0:02:40,1:23:27,1:23:27
21202,01421,0:39:21,0:21:52,0:13:11,0:02:40,1:23:29,1:23:29
