Bib,ID,14.4k,25.8k,32.3k,37.9k,Chip Time,Finish Time
40002,00001,0:51:29,0:41:45,0:22:46,0:18:29,2:28:21,2:28:21
40007,00002,0:52:07,0:41:07,0:22:45,0:18:29,2:28:22,2:28:23
40005,00003,0:51:16,0:41:58,0:23:34,0:20:30,2:33:40,2:33:40
40000,00004,0:51:41,0:41:51,0:24:18,0:20:54,2:34:57,2:34:57
40003,00005,0:51:41,0:42:07,0:23:53,0:21:02,2:35:01,2:35:01
40004,00006,0:51:42,0:41:50,0:23:54,0:21:18,2:35:07,2:35:07
40037,00007,0:53:50,0:43:02,0:24:14,0:20:57,2:38:59,2:38:59
40902,00008,0:53:46,0:43:05,0:24:28,0:21:17,2:39:10,2:39:10
40039,00009,0:53:46,0:43:04,0:24:16,0:20:57,2:39:30,2:39:30
40001,00010,0:53:52,0:43:30,0:24:32,0:20:44,2:39:44,2:39:44
43005,00011,0:53:58,0:43:26,0:24:30,0:20:43,2:39:49,2:39:50
40040,00012,0:53:45,0:43:04,0:24:28,0:21:35,2:41:16,2:41:16
40050,00013,0:55:07,0:44:04,0:24:52,0:21:28,2:42:55,2:42:55
40035,00014,0:53:47,0:44:53,0:25:50,0:22:05,2:44:46,2:44:46
40038,00015,0:55:39,0:43:34,0:24:34,0:23:00,2:46:21,2:46:21
40904,00016,0:56:27,0:45:19,0:25:08,0:21:53,2:46:24,2:46:24
43002,00017,0:55:17,0:43:56,0:26:07,0:23:08,2:47:43,2:47:43
40132,00018,0:56:46,0:45:46,0:25:26,0:21:53,2:47:53,2:47:53
40234,00019,0:55:57,0:45:45,0:26:06,0:22:12,2:49:00,2:49:00
40046,00020,0:53:46,0:43:06,0:26:56,0:25:37,2:49:50,2:49:50
43001,00021,0:56:28,0:45:36,0:25:43,0:22:46,2:49:57,2:49:58
40045,00022,0:56:25,0:46:33,0:26:19,0:23:03,2:50:22,2:50:22
40876,00023,0:56:26,0:45:30,0:25:57,0:23:12,2:50:27,2:50:27
40023,00024,0:56:26,0:46:14,0:25:57,0:22:52,2:50:29,2:50:29
43003,00025,0:57:35,0:46:59,0:26:36,0:21:49,2:50:51,2:50:51
